GK-2A AMI LRIT DOP(Daily Operation Plan)
BY NATIONAL METEOROLOGICAL SATELLITE CENTER, KOREA METEOROLOGICAL ADMINISTRATION
DISSEMINATION SCHEDULE FROM 2020/08/10
UPDATE 2020/08/10
NOTE: 

＊FOR SEMI REAL-TIME INFORMATION ON GK-2A OPERATION, PLEASE REFER TO FOLLOWING WEBSITE. (http://nmsc.kma.go.kr)
＊A wheel off-loading maneuver is scheduled from [15:28:00.000] on [2019/04/19]. 
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊A wheel off-loading maneuver is scheduled from [06:09:00.000] on [2019/08/21].  
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊A wheel off-loading maneuver is scheduled from [00:47:00.000] on [2019/12/20].  
   For about 20 minutes, the image quality might be temporarily deteriorated. 
   For about 20 minutes, the image might be disseminated with chipping. (See the following schedule for the details)

＊Due to event of sun intrusion into the sensor(from [00:00:00.000] to [00:00:00.000] on [2019/01/01]), some image dissemination will be cancel (See the following schedule for the details).

TIME(UTC)	ABBR_ID	AREA	DISSEMINATION
000940-001000	EGMSG001		O
001006-001236	FD001	FD	O
001940-002000	EGMSG002		O
002006-002236	FD002	FD	O
002940-003000	EGMSG003		O
003006-003236	FD003	FD	O
003940-004000	EGMSG004		O
004006-004236	FD004	FD	O
004940-005000	EGMSG005		O
005006-005236	FD005	FD	O
005940-010000	EGMSG006		O
010006-010236	FD006	FD	O
010940-011000	EGMSG007		O
011006-011236	FD007	FD	O
011300-011330	TYIA001		O
011940-012000	EGMSG008		O
012006-012236	FD008	FD	O
012940-013000	EGMSG009		O
013006-013236	FD009	FD	O
013940-014000	EGMSG010		O
014006-014236	FD010	FD	O
014300-014330	RWW3A001		O
014940-015000	EGMSG011		O
015006-015236	FD011	FD	O
015300-015330	TYIB001		O
015940-020000	EGMSG012		O
020006-020236	FD012	FD	O
020300-020340	SUFA03001		O
020940-021000	EGMSG013		O
021006-021236	FD013	FD	O
021300-021330	UP50A001		O
021940-022000	EGMSG014		O
022006-022236	FD014	FD	O
022940-023000	EGMSG015		O
023006-023236	FD015	FD	O
023940-024000	EGMSG016		O
024006-024236	FD016	FD	O
024940-025000	EGMSG017		O
025006-025236	FD017	FD	O
025940-030000	EGMSG018		O
030006-030236	FD018	FD	O
030500-030630	SUFA12001		O
030635-030815	SUFF24001		O
030940-031000	EGMSG019		O
031006-031236	FD019	FD	O
031300-031520	UP50F24001		O
031525-031745	UP50F48001		O
031940-032000	EGMSG020		O
032006-032236	FD020	FD	O
032300-032330	RWW3F001		O
032335-032405	RWW3F002		O
032410-032440	RWW3F003		O
032445-032515	RWW3F004		O
032520-032550	RWW3F005		O
032555-032625	RWW3F006		O
032630-032700	RWW3F007		O
032705-032735	RWW3F008		O
032740-032810	RWW3F009		O
032815-032845	RWW3F010		O
032915-032920	ANT001		O
032940-033000	EGMSG021		O
033006-033236	FD021	FD	O
033300-033330	RWW3F011		O
033335-033405	RWW3F012		O
033410-033440	RWW3F013		O
033445-033515	RWW3F014		O
033520-033550	RWW3F015		O
033555-033625	RWW3F016		O
033630-033700	RWW3F017		O
033705-033735	RWW3F018		O
033740-033810	RWW3F019		O
033815-033845	RWW3F020		O
033940-034000	EGMSG022		O
034006-034236	FD022	FD	O
034300-034330	RWW3F021		O
034335-034405	RWW3F022		O
034410-034440	RWW3F023		O
034445-034515	RWW3F024		O
034520-034550	RWW3F025		O
034555-034625	RWW3F026		O
034630-034700	RWW3F027		O
034705-034735	RWW3F028		O
034740-034810	RWW3F029		O
034815-034845	RWW3F030		O
034940-035000	EGMSG023		O
035006-035236	FD023	FD	O
035300-035340	GWW3F001		O
035345-035425	GWW3F002		O
035430-035510	GWW3F003		O
035515-035555	GWW3F004		O
035600-035640	GWW3F005		O
035645-035725	GWW3F006		O
035730-035810	GWW3F007		O
035815-035855	GWW3F008		O
035940-040000	EGMSG024		O
040006-040236	FD024	FD	O
040300-040340	GWW3F009		O
040345-040425	GWW3F010		O
040430-040510	GWW3F011		O
040515-040555	GWW3F012		O
040600-040640	GWW3F013		O
040645-040725	GWW3F014		O
040730-040810	GWW3F015		O
040815-040855	GWW3F016		O
040940-041000	EGMSG025		O
041006-041236	FD025	FD	O
041300-041330	TYIA002		O
041335-041415	GWW3F017		O
041420-041500	GWW3F018		O
041505-041545	GWW3F019		O
041550-041630	GWW3F020		O
041635-041715	GWW3F021		O
041720-041800	GWW3F022		O
041805-041845	GWW3F023		O
041850-041930	GWW3F024		O
041940-042000	EGMSG026		O
042006-042236	FD026	FD	O
042300-042340	GWW3F025		O
042345-042425	GWW3F026		O
042430-042510	GWW3F027		O
042515-042555	GWW3F028		O
042600-042640	GWW3F029		O
042645-042725	GWW3F030		O
042730-042810	GWW3F031		O
042815-042855	GWW3F032		O
042940-043000	EGMSG027		O
043006-043236	FD027	FD	O
043300-043930	COMSIR1001		O
043940-044000	EGMSG028		O
044006-044236	FD028	FD	O
044300-044330	TYIB002		O
044335-044405	RWW3A002		O
044410-044935	COMSFOG001		O
044940-045000	EGMSG029		O
045006-045236	FD029	FD	O
045300-045340	GWW3F033		O
045345-045425	GWW3F034		O
045430-045510	GWW3F035		O
045515-045555	GWW3F036		O
045600-045640	GWW3F037		O
045645-045725	GWW3F038		O
045730-045810	GWW3F039		O
045815-045855	GWW3F040		O
045940-050000	EGMSG030		O
050006-050236	FD030	FD	O
050300-050340	SUFA03002		O
050940-051000	EGMSG031		O
051006-051236	FD031	FD	O
051940-052000	EGMSG032		O
052006-052236	FD032	FD	O
052300-052339	GWW3F041		O
052344-052423	GWW3F042		O
052428-052507	GWW3F043		O
052512-052551	GWW3F044		O
052556-052635	GWW3F045		O
052640-052719	GWW3F046		O
052724-052803	GWW3F047		O
052808-052847	GWW3F048		O
052852-052931	GWW3F049		O
052940-053000	EGMSG033		O
053006-053236	FD033	FD	O
053940-054000	EGMSG034		O
054006-054236	FD034	FD	O
054940-055000	EGMSG035		O
055006-055236	FD035	FD	O
055940-060000	EGMSG036		O
060006-060236	FD036	FD	O
060940-061000	EGMSG037		O
061006-061236	FD037	FD	O
061300-061330	UP50A002		O
061940-062000	EGMSG038		O
062006-062236	FD038	FD	O
062940-063000	EGMSG039		O
063006-063236	FD039	FD	O
063940-064000	EGMSG040		O
064006-064236	FD040	FD	O
064940-065000	EGMSG041		O
065006-065236	FD041	FD	O
065940-070000	EGMSG042		O
070006-070236	FD042	FD	O
070940-071000	EGMSG043		O
071006-071236	FD043	FD	O
071300-071330	TYIA003		O
071940-072000	EGMSG044		O
072006-072236	FD044	FD	O
072940-073000	EGMSG045		O
073006-073236	FD045	FD	O
073940-074000	EGMSG046		O
074006-074236	FD046	FD	O
074300-074330	TYIB003		O
074335-074405	RWW3A003		O
074410-074935	COMSFOG002		O
074940-075000	EGMSG047		O
075006-075236	FD047	FD	O
075940-080000	EGMSG048		O
080006-080236	FD048	FD	O
080300-080340	SUFA03003		O
080940-081000	EGMSG049		O
081006-081236	FD049	FD	O
081940-082000	EGMSG050		O
082006-082236	FD050	FD	O
082940-083000	EGMSG051		O
083006-083236	FD051	FD	O
083940-084000	EGMSG052		O
084006-084236	FD052	FD	O
084940-085000	EGMSG053		O
085006-085236	FD053	FD	O
085940-090000	EGMSG054		O
090006-090236	FD054	FD	O
090940-091000	EGMSG055		O
091006-091236	FD055	FD	O
091940-092000	EGMSG056		O
092006-092236	FD056	FD	O
092940-093000	EGMSG057		O
093006-093236	FD057	FD	O
093940-094000	EGMSG058		O
094006-094236	FD058	FD	O
094940-095000	EGMSG059		O
095006-095236	FD059	FD	O
095940-100000	EGMSG060		O
100006-100236	FD060	FD	O
100940-101000	EGMSG061		O
101006-101236	FD061	FD	O
101300-101330	TYIA004		O
101940-102000	EGMSG062		O
102006-102236	FD062	FD	O
102940-103000	EGMSG063		O
103006-103236	FD063	FD	O
103300-103930	COMSIR1002		O
103940-104000	EGMSG064		O
104006-104236	FD064	FD	O
104300-104330	TYIB004		O
104335-104405	RWW3A004		O
104410-104935	COMSFOG003		O
104940-105000	EGMSG065		O
105006-105236	FD065	FD	O
105940-110000	EGMSG066		O
110006-110236	FD066	FD	O
110300-110340	SUFA03004		O
110940-111000	EGMSG067		O
111006-111236	FD067	FD	O
111940-112000	EGMSG068		O
112006-112236	FD068	FD	O
112300-112330	SSTA001		O
112940-113000	EGMSG069		O
113006-113236	FD069	FD	O
113940-114000	EGMSG070		O
114006-114236	FD070	FD	O
114940-115000	EGMSG071		O
115006-115236	FD071	FD	O
115940-120000	EGMSG072		O
120006-120236	FD072	FD	O
120940-121000	EGMSG073		O
121006-121236	FD073	FD	O
121940-122000	EGMSG074		O
122006-122236	FD074	FD	O
